symbol,ID001,ID002,ID003,ID004,ID005,ID006,ID007,ID008,ID009
MFSD6L,6.68375848,6.618057546,6.550469274,6.328579028,6.480274993,6.751254609,6.539558134,6.547071689,6.908092009
CDH23,4.951722571,4.689762383,5.237036242,5.168512219,5.228891203,5.337366779,5.113400116,5.251046631,5.300817731
ANKAR,5.235165517,5.034515548,4.858572841,5.178908155,5.417029996,4.60444854,5.209262768,4.983802062,5.197211895
MEGF11,4.354848383,4.358599293,4.34498369,4.534115055,4.406592677,4.365937541,4.313643814,4.428132111,4.312415
GPR182,6.140681477,6.090024607,6.052720591,6.367874898,5.834750349,6.390320801,5.874520859,6.235582229,6.623336375
ESX1,7.584160768,6.947310933,6.820024543,7.143247879,7.192334933,6.938954024,7.24174333,6.807572182,7.190350732
FAM167A-AS1,5.499784544,5.30234735,5.445296752,5.236451162,5.600169111,5.345399571,5.477417012,5.21193857,5.470371863
DNAJC5G,7.624444249,7.425772631,7.202685276,7.353160448,7.569223934,6.930997166,7.606474334,7.140128191,7.061807089
WDR88,5.160005951,5.226595862,4.948592103,5.08154128,5.062359113,5.022719923,5.218412246,5.229610565,5.292998721
PRUNE2,5.004656565,5.561318656,4.998747997,5.459522706,5.197616913,5.087286001,5.630217231,5.819269998,5.462044391
MBD3L2,6.383887183,6.397092971,6.398585525,6.510746048,6.193039826,6.530032786,6.495675865,6.514517322,6.357426566
ADAMTSL1,4.938045693,4.622006607,4.712293363,4.970918826,4.667633184,4.820838122,5.04172186,5.027944546,5.064507179
MBD3L1,5.335428578,5.467367235,4.965183633,5.483045989,5.036223555,5.220455451,5.610154749,5.034729638,5.230577332
FAM46D,4.882162148,4.713629889,4.812421768,4.694964737,4.806719799,4.748223632,4.845784682,4.713310395,4.786825583
SERPINB11,4.575570691,4.692182467,4.591309911,4.688940015,5.734775946,4.439182854,4.605523559,4.567534264,4.672107364
LINC00161,4.64356329,4.555652989,4.355872073,4.661321744,4.444282986,4.464930795,4.648556492,4.574865077,4.696574099
DSCR10,7.548613569,7.529047292,7.073142134,7.563784505,7.252041621,7.23545091,7.53836753,7.384850963,7.469186837
ABHD11,4.879945193,4.442213396,5.519155422,4.218221765,4.260833604,5.446814456,4.754250498,4.854015972,4.879945193
ACAP2,8.103698526,7.752668546,8.103698526,6.302407501,7.572858435,7.413439466,7.207663591,6.872349768,7.168348119
GAMT,9.008447556,9.405399297,8.384428951,9.750762911,9.326747166,9.010542949,9.316442408,8.822574338,8.835632624
PLCD3,8.464231945,8.873538027,7.607577239,7.689337141,8.370013515,8.856960255,8.360442859,7.976862535,8.047772565
IRF6,8.829374358,9.232633147,8.357157029,7.7523335,9.602761473,8.868686911,8.389099266,8.478299758,8.676799056
PTPRC,3.710230422,3.877176182,3.982449631,3.722184281,3.897297644,3.724555559,3.790572523,3.831856732,3.58251866
MAN1A2,6.700240041,6.871476637,7.147013553,6.636836314,7.17004176,6.628184754,6.634599629,6.860323291,6.718065122
RAPH1,6.033638121,6.112269556,5.946864662,6.057079609,5.895790344,5.830663826,6.160095932,5.972857296,5.572180192
SMCR8,7.91614232,7.836114653,7.519246235,7.930102944,7.797174571,8.076076203,7.765548111,7.629254641,7.695423095
LACTB,5.574161917,5.933221647,6.607043497,4.918075327,5.767648639,5.800583188,5.288815418,5.890965264,6.170059129
BNC1,3.841268723,3.717513915,3.72885082,3.776287408,4.746422682,3.749623857,3.842947323,4.012032956,3.667669043
MPP4,3.906616558,3.990855313,4.001834264,4.003942199,3.948315484,4.027256938,3.972055685,4.087984799,4.16076943
AFG1L,5.371277712,5.378880687,5.452846984,5.432636039,5.356001877,5.387136198,5.502086538,5.259284187,5.354148286
IDI2,7.017916973,6.772032397,6.641222831,7.392392173,7.261513697,6.647985254,6.744852284,6.574027938,6.562657
CYP11B1,5.314379354,5.449542945,5.482761016,5.599246947,5.459399408,6.00157725,5.485013189,5.495512679,5.887638961
TAF8,5.935520044,6.057011509,6.090370956,6.003412019,5.90798747,6.135369332,5.971229756,6.015067195,6.380525735
COBL,7.402283407,8.017158211,7.0350823,6.305476462,6.975773728,7.524609562,7.444995384,7.442051638,7.788407976
SLAMF6,8.962547285,9.286971032,8.605877652,9.796810087,9.375739872,8.147753648,8.873376387,8.66751779,8.237298736
ZSCAN20,5.503376506,5.550327128,5.291809423,6.013614545,5.587418371,5.697327262,6.078567227,5.442161647,5.515880567
GPBAR1,7.684593279,7.646747524,7.923757586,7.793356537,7.592473497,7.880333793,7.773963776,7.848386508,7.876629132
RHBDL2,6.775927031,8.749040001,6.471844636,5.671638251,8.106904935,5.988762904,7.108878522,6.113159206,7.597535799
FRAS1,6.597438263,6.713103343,6.465935822,6.627712993,6.604292482,6.840689003,6.624854667,6.529095606,6.600285154
BRSK1,7.003304501,7.597832135,6.551253512,7.971431859,6.918824429,7.556368721,7.271714294,6.834963311,6.713825744
CRB2,5.309794905,5.079381959,5.406785124,5.031727506,5.268497877,5.264773052,5.273731478,5.260736136,5.283437548
KCNE4,6.762753355,6.453555267,7.002606534,6.225530692,6.842725388,6.710087734,6.513738626,7.596568842,6.315019053
CD300LG,5.712656278,5.861098841,5.733576567,6.035144489,5.978401506,5.319836247,5.766478608,5.491700592,5.757442805
SLC34A3,10.28511676,10.20881789,9.86534042,10.76708676,10.38077809,10.27281147,10.22504656,10.37626717,9.995256704
CPA6,4.165028771,4.436075676,4.828823968,3.900472405,5.982600004,4.172163152,3.938380937,3.70688562,4.251965569
WBP2NL,4.292477924,3.802655528,4.39702759,4.188697121,4.259266177,3.931573859,4.186661458,4.006768634,3.980891012
HIPK1,6.529765157,6.196132997,6.18315622,6.243873642,6.276021916,6.339329267,6.220501651,6.304182173,6.282284688
MTBP,5.7065262,5.311191641,5.508946424,5.014356334,4.34477719,5.427319158,5.574204321,5.544806969,5.992520397
ACVR1C,7.077434344,7.780665195,7.216761081,8.374483865,7.026934203,6.663764746,7.744808216,6.390985267,7.386835288
TMEM74,7.133504171,6.708886797,6.836637032,6.844903101,7.481247514,6.340401538,6.854808237,6.607606591,6.721130582
TIGD4,4.310304862,4.209315083,4.254500885,4.106809252,4.139997339,4.113529376,4.489562672,4.156687552,4.216611613
ART5,7.685960918,8.26812429,7.65678665,8.454209833,8.337424373,7.745711501,7.891206476,7.891643593,7.691070786
FAM71C,6.410026563,6.401978101,6.475497188,6.354882859,6.249523106,6.470358038,6.317451848,6.119424451,6.627223739
LINC01547,8.08492107,8.175787506,7.834009577,8.318435562,7.893677193,8.045614906,8.292632154,7.89706226,7.788628864
NLRP11,5.318903913,5.860164834,5.526752905,5.345378987,5.404065008,5.61377835,5.446734358,5.41994265,5.448511258
ATP6V1C2,4.909102928,4.504011636,5.337880981,4.587678106,4.731436986,4.898734819,4.670095987,4.319947595,5.614714292
CLDN19,7.624702862,7.216899988,7.180729336,7.316709395,7.173475479,7.312199016,7.241869919,7.231221248,7.61749025
