X1,X2
CBLN4,SLC32A1
CBLN4,MC3R
CBLN4,PCSK1N
STYK1,LIN7A
GNA11,GNG14
GNA11,PLA2G2E
GNA11,PLA2G3
GNA11,RGS2
GNA11,GNGT2
GNA11,GRPR
GNA11,CYSLTR2
GNA11,EDN1
GNA11,F2RL2
GNA11,ARHGEF25
GNA11,GNG12
GNA11,NTSR1
GNA11,GNG2
GNA11,ADRA1D
GNA11,UCN
GNA11,FOXL2
GNA11,GNG10
GNA11,CX3CL1
GNA11,TRHR
GNA11,P2RY1
GNA11,NAPA
GNA11,HRH1
GNA11,AGT
GNA11,AVPR1A
GNA11,ADRA2A
GNA11,PLA2G2C
GNA11,HTR2B
GNA11,GCM2
GNA11,ADRA1B
GNA11,GAST
GNA11,S1PR4
GNA11,FFAR1
GNA11,GNAT3
GNA11,PTGER1
GNA11,RGS16
GNA11,GHSR
GNA11,AVPR1B
GNA11,PDYN
GNA11,PIK3CA
GNA11,CXCR4
GNA11,PLA2G4D
GNA11,TACR3
GNA11,F2R
GNA11,PROKR1
GNA11,GNAZ
GNA11,CHRM1
GNA11,CCKAR
GNA11,GNRHR
GNA11,F2RL3
GNA11,GNG3
GNA11,ADRA2C
GNA11,RGS21
GNA11,GNG11
GNA11,GNG8
GNA11,ARHGEF12
GNA11,PLA2G12B
GNA11,NRAS
GNA11,TYR
GNA11,PLA2G2F
GNA11,GNA15
GNA11,GNG13
GNA11,BDKRB2
GNA11,ADRA2B
GNA11,RGS17
GNA11,PTH
GNA11,PTGIR
GNA11,CYSLTR1
GNA11,GNA14
CA11,RRS1
CA11,EVPLL
ISOC2,ARG2
ISOC2,TMEM86B
ISOC2,MROH6
ISOC2,AGMAT
ISOC2,CALML3
ISOC2,ZNF579
ISOC2,FIZ1
ISOC2,DAO
ISOC2,NAT14
GSC2,DPRX
GSC2,C22orf39
GSC2,GP1BB
GSC2,PRODH
GSC2,E2F2
GSC2,SESN2
GSC2,CRK
GSC2,DGCR6
PSMC4,UBE2M
PSMC4,PSMB9
PSMC4,RARS1
PSMC4,PROKR1
PSMC4,EIF2S2
PSMC4,DESI1
PSMC4,POMP
PSMC4,RPS11
PSMC4,PSMB3
PSMC4,DDI1
PSMC4,PSMG3
PSMC4,RPS13
PSMC4,UBD
PSMC4,PSMB1
PSMC4,UBQLN2
PSMC4,ANAPC15
PSMC4,CCND1
PSMC4,RPLP2
PSMC4,AKIRIN2
PSMC4,SPOPL
PSMC4,PGK2
PSMC4,RPS18
PSMC4,PSMB11
PSMC4,RPS16
PSMC4,RPS12
PSMC4,CCDC92
PSMC4,TMEM31
PSMC4,EGLN1
PSMC4,AHSA1
PSMC4,RPS19
PSMC4,VHL
PSMC4,ANAPC2
PSMC4,SHH
PSMC4,TNKS2
PSMC4,SHPK
PSMC4,CLPX
PSMC4,IHH
PSMC4,UBA52
PSMC4,EIF6
PSMC4,TNF
PSMC4,RPL17
PSMC4,PSMC3
PSMC4,FBXO32
PSMC4,RBX1
PSMC4,UBLCP1
PSMC4,RPS28
PSMC4,RPS5
PSMC4,NOTCH4
PSMC4,CDC5L
PSMC4,DHH
FNDC8,SYNGR4
FNDC8,TEX13A
FNDC8,SCP2D1
FNDC8,PRM1
FNDC8,TMEM202
NOX3,SOD3
NOX3,NOXA1
NOX3,GPX5
NOX3,AGT
NOX3,CALML5
NOX3,RAC3
NOX3,OC90
NOX3,CALML3
NOX3,LY96
NOX3,CYBB
NOX3,GPX7
NOX3,CD180
FOXJ2,OBI1
FOXJ2,RFX1
FOXJ2,FEM1B
FOXJ2,FOXD3
FOXJ2,FOXL1
TNFRSF1A,SMPD2
TNFRSF1A,IL17B
TNFRSF1A,ERVFRD-1
TNFRSF1A,CXCR5
TNFRSF1A,CXCR2
TNFRSF1A,CCL4
TNFRSF1A,MAP3K1
TNFRSF1A,LTA
TNFRSF1A,CEBPB
TNFRSF1A,TLR2
TNFRSF1A,CCL3
TNFRSF1A,ERV3-1
TNFRSF1A,CX3CL1
TNFRSF1A,PIP4K2B
TNFRSF1A,SOCS3
TNFRSF1A,MPO
TNFRSF1A,EREG
TNFRSF1A,CBL
TNFRSF1A,TLR7
TNFRSF1A,IL17A
TNFRSF1A,TNFRSF13C
TNFRSF1A,JUN
TNFRSF1A,CXCL10
TNFRSF1A,CYCS
TNFRSF1A,CD27
TNFRSF1A,NGF
TNFRSF1A,TNFSF8
TNFRSF1A,ELANE
TNFRSF1A,CXCL9
TNFRSF1A,S100A11
TNFRSF1A,GADD45B
TNFRSF1A,FEM1B
TNFRSF1A,OTUD1
TNFRSF1A,PI3
TNFRSF1A,PTGER1
TNFRSF1A,TNFSF9
TNFRSF1A,UBA52
TNFRSF1A,PIK3CA
TNFRSF1A,TLR1
TNFRSF1A,TNF
TNFRSF1A,TNFRSF13B
TNFRSF1A,CD40LG
TNFRSF1A,CXCR4
TNFRSF1A,TNFRSF6B
TNFRSF1A,CXCR1
TNFRSF1A,OTUD7B
TNFRSF1A,IL2
TNFRSF1A,ICAM1
TNFRSF1A,TNFRSF10D
TNFRSF1A,INS
TNFRSF1A,CXCR3
TNFRSF1A,PECAM1
TNFRSF1A,LTB
TNFRSF1A,IL1A
TNFRSF1A,CCR1
TNFRSF1A,PGLYRP1
TNFRSF1A,FASLG
TNFRSF1A,JUND
TNFRSF1A,TNFRSF21
TNFRSF1A,HSPA5
TNFRSF1A,CEBPD
TNFRSF1A,SERPINE1
TNFRSF1A,CCND2
TNFRSF1A,S100A12
TNFRSF1A,GDF15
TNFRSF1A,CCL27
TNFRSF1A,NSMAF
TNFRSF1A,IFNA1
TNFRSF1A,OTULIN
TNFRSF1A,CYBB
TNFRSF1A,TLR9
TNFRSF1A,MMP9
TNFRSF1A,IKBKG
TNFRSF1A,IKBKE
TNFRSF1A,PRF1
TNFRSF1A,TNFRSF11B
TNFRSF1A,HBEGF
TNFRSF1A,IL10
TNFRSF1A,NGFR
TNFRSF1A,IFNB1
TNFRSF1A,ERVW-1
TNFRSF1A,BCL2A1
TNFRSF1A,FADD
TNFRSF1A,RIPK2
TNFRSF1A,CSF2
TNFRSF1A,IFNG
TNFRSF1A,MOAP1
TNFRSF1A,IRAK2
TNFRSF1A,TNFSF15
TNFRSF1A,CXCL1
TNFRSF1A,CCL5
PRLH,GAL
PRLH,LEP
PRLH,NPFF
PRLH,NPS
PRLH,RLN3
PRLH,OXT
PRLH,NPFFR1
PRLH,NMS
PRLH,NPY1R
PRLH,HCRT
PRLH,PRLHR
PRLH,NPY
PRLH,AGRP
PRLH,UTS2R
PRLH,CRH
PRLH,GHSR
PRLH,QRFP
PRLH,PDYN
PRLH,TRH
PRLH,NPB
PRLH,CARTPT
PRLH,NPVF
PRLH,PTH2
KRT14,SNAI1
KRT14,LYPD3
KRT14,CD24
KRT14,KRT12
KRT14,UPK2
KRT14,MUC5AC
KRT14,KRT38
KRT14,IVL
KRT14,KRT32
KRT14,KRT24
KRT14,KRT34
KRT14,CLCA2
KRT14,FOXA1
KRT14,TACSTD2
KRT14,FLG2
KRT14,LIAT1
KRT14,KRT3
KRT14,HOXC13
KRT14,CALML3
KRT14,KRT10
KRT14,KRT6B
KRT14,DSG1
KRT14,DLX3
KRT14,CMBL
KRT14,FOXJ1
KRT14,SOX2
KRT14,EVPL
KRT14,SCGB1A1
KRT14,FOXN1
KRT14,KRT37
KRT14,LORICRIN
KRT14,LGALS7
KRT14,KRT31
KRT14,KRT20
KRT14,KRT39
KRT14,ENO2
KRT14,SHH
KRT14,CD207
KRT14,KRT16
KRT14,AQP5
KRT14,KRT26
KRT14,LGALS7B
KRT14,SPRR1A
KRT14,ZNF750
KRT14,KRT33A
KRT14,KRT25
KRT14,KRT28
KRT14,CCDC8
KRT14,AMACR
KRT14,KRT27
KRT14,NEFL
KRT14,DSG3
KRT14,S100A7
KRT14,INS
KRT14,PECAM1
KRT14,SOX9
KRT14,SPRR1B
KRT14,TNF
KRT20,PIK3CA
KRT20,ALPP
KRT20,PECAM1
KRT20,AMACR
KRT20,ATOH1
KRT20,KRT27
KRT20,ZG16
KRT20,GUCA2A
KRT20,BBLN
KRT20,KRT33A
KRT20,KRT14
KRT20,KRT25
KRT20,KRT28
KRT20,KRT16
KRT20,KRT26
KRT20,PHGR1
KRT20,ALPI
KRT20,MUC13
KRT20,KRT31
KRT20,KRT39
KRT20,KRT37
KRT20,MYOG
KRT20,PIP
KRT20,ENO2
KRT20,NAPSA
KRT20,MS4A12
KRT20,AFP
KRT20,KRT10
KRT20,NRAS
KRT20,UPK1B
KRT20,GUCY2C
KRT20,FOXA1
KRT20,HNF1B
KRT20,KRT34
KRT20,THBD
KRT20,LGALS4
KRT20,UPK2
KRT20,KRT12
KRT20,KRT32
KRT20,KRT24
KRT20,MUC5AC
KRT20,OLFM4
KRT20,PTGER4
KRT20,KRT38
FGF4,WNT6
FGF4,INSRR
FGF4,TNF
FGF4,CXCR4
FGF4,MMP1
FGF4,PIK3CA
FGF4,FGF19
FGF4,GBX2
FGF4,PTX3
FGF4,KL
FGF4,UBA52
FGF4,SOX9
FGF4,FGF16
FGF4,VGF
FGF4,IL1A
FGF4,TGFB3
FGF4,FOXD3
FGF4,FGF10
FGF4,HOXD13
FGF4,BMP6
FGF4,IL9
FGF4,INS
FGF4,IGFBP4
FGF4,ICAM1
FGF4,PECAM1
FGF4,IL2
FGF4,AGT
FGF4,PF4
FGF4,UTF1
FGF4,CCL3
FGF4,FGF18
FGF4,FGFBP1
FGF4,ERV3-1
FGF4,ERVFRD-1
FGF4,SRY
