X1,X2
CENPF,CLIP1
PSMA7,PSMD8
PSMA7,PSMD7
PSMA7,PSMD9
CDC25A,PSMA5
CDC25A,PSMA4
CDC25A,PSMA7
MAD2L1,NDEL1
CDC25A,PSMA8
PSMA7,PSMC1
PSMB4,UBA52
CENPO,MAD2L1
KNTC1,NDEL1
PSMA7,PSMC3
PSMA7,PSMC2
PSMA7,PSMC5
PSMA7,PSMC4
CDC25A,PSMA1
PSMA7,PSMC6
CDC25A,PSMA3
CDC25A,PSMA2
CENPM,KIF2B
SKA2,ZW10
CENPM,KIF2C
CENPM,KIF2A
PSMA7,PSMB9
KIF18A,PPP1CC
PSMA7,PSMB2
PSMA7,PSMB1
PSMA7,PSMB4
PSMA7,PSMB3
PSMA7,PSMB6
CENPQ,DYNC1LI1
PSMA7,PSMB5
PSMA7,PSMB8
PSMA7,PSMB7
CENPQ,DYNC1LI2
RANBP2,RANGAP1
ANAPC4,MAD2L1
CENPA,ZW10
CDC20,CDCA8
BUB1,MAD2L1
CENPL,NUDC
PSMA7,PSMA8
INCENP,PAFAH1B1
KIF2B,ZW10
CDKN2A,MDM2
CLIP1,PLK1
BRCC3,HERC2
CDKN2A,MDM4
BUB3,DYNC1H1
CENPF,KIF18A
CENPT,TAOK1
CENPL,RANGAP1
CENPI,SEC13
BUB1B,NUP107
KIF2B,NSL1
CENPK,ZWILCH
CENPA,NSL1
CENPH,SPC24
CENPH,SPC25
NUDC,SEH1L
CENPF,RCC2
DSN1,ITGB3BP
PSMA7,PSMF1
B9D2,NUP98
NUF2,RANGAP1
NDEL1,RANBP2
CLASP1,PMF1
CENPI,SPC25
CENPI,SPC24
CENPI,MIS12
KAT5,PPP5C
DYNLL2,MAD2L1
ANAPC10,MAD2L1
BUB3,DYNC1I2
BUB3,DYNC1I1
PSMA7,PSME1
PSMA7,PSME3
CENPE,SKA1
CENPE,SKA2
DYNC1I1,PAFAH1B1
PSMA7,PSME4
SPC24,SPC25
B9D2,SPC25
B9D2,SPC24
MAPRE1,ZW10
CHEK2,MDM4
KIF2A,RCC2
AURKB,NUP98
ERCC6L,NSL1
DYNC1LI1,NUP37
INCENP,NUP85
BARD1,HUS1
CENPQ,RANBP2
DYNC1LI2,ITGB3BP
RAD50,UBE2V2
DYNC1H1,PLK1
INCENP,NUP98
PAFAH1B1,PLK1
CENPK,ZWINT
RANGAP1,ZWILCH
CENPT,MAPRE1
CENPM,DSN1
MAPRE1,NSL1
H2AFX,HIST3H3
DYNC1I1,ZW10
DYNC1I2,TAOK1
KAT5,RPA3
CDC25A,PSMF1
CENPO,NUF2
KAT5,RPA1
KAT5,RPA2
RPA2,RPA3
MAD2L1,PAFAH1B1
PPP5C,RNF8
CENPH,SEC13
NDC80,PMF1
CENPO,NUDC
H2AFX,MAPK8
PSMC4,UBC
CLASP2,DSN1
DYNC1LI1,INCENP
NUP85,ZWINT
NDE1,NUP37
PSMA8,RPS27A
PSMC4,UBB
CDC25A,PSMD8
CDC25A,PSMD7
PSME1,TP53
CDC25A,PSMD9
CENPA,NDE1
CLASP1,TAOK1
BUB1B,UBE2C
CDC25A,PSMD2
CDC25A,PSMD1
CDC25A,PSMD4
CDC25A,PSMD3
NDE1,NUP43
CDC25A,PSMD6
MIS12,NUP85
CDC25A,PSMD5
MAPRE1,XPO1
KIF2A,TAOK1
PSMC6,PSMD4
PSMC6,PSMD5
PSMC6,PSMD2
PSMC6,PSMD3
PSMC6,PSMD1
PSMC6,PSMD8
PSMC6,PSMD9
PSMC6,PSMD6
PSMC6,PSMD7
CDC25A,PSME1
CDC25A,PSME3
MIS12,NUP98
CDCA8,SEH1L
PSMB5,UBB
CDC25A,PSME4
PSMB5,UBC
CDC25A,PSMB6
CDC20,CLASP2
CDC25A,PSMB5
CDC20,CLASP1
CDC25A,PSMB8
RNF8,UBE2I
CDC25A,PSMB7
KIF2A,RANGAP1
CDC25A,PSMB9
BIRC5,NUP43
PSMA3,PSMB10
RNF8,UBE2N
PLK1,RANGAP1
CENPA,NUDC
BIRC5,NUP37
CDC25A,PSMB2
CDC25A,PSMB1
CDC25A,PSMB4
CDC25A,PSMB3
NDE1,NUP85
CDC25A,PSMC6
NDEL1,SEH1L
PSMD5,RPS27A
ANAPC7,UBE2C
CHEK2,MDM2
CENPK,DYNLL1
CENPL,ZWILCH
CENPQ,PMF1
CENPK,DYNLL2
AURKB,NUP85
CENPH,CKAP5
HERC2,RPS27A
DYNC1I1,XPO1
CENPA,NUF2
CDC25A,PSMC1
CDC25A,PSMC3
CDC25A,PSMC2
CDC25A,PSMC5
CDC25A,PSMC4
DYNC1LI2,PAFAH1B1
PSMD4,PSMD9
KNTC1,RCC2
AHCTF1,NDE1
BUB1,CLASP1
PSMD4,PSMD7
BIRC5,PPP1CC
PSMD4,PSMD8
BUB1,CLASP2
PSMD4,PSMD5
PSMD4,PSMD6
RANBP2,RCC2
BIRC5,SEC13
BARD1,RAD1
AHCTF1,NUF2
KDM4B,RAD50
RPA3,WRN
DSN1,ZWINT
DYNC1LI1,MIS12
